sample_id,nearest_neighbor_rmsd_A,3.8A_hamiltonian_rmsd_A,fiedler_edgece_rmsd_A,fiedler_edgece_mse_rmsd_A,rmsd_decoder_permce_rmsd_A
22,23.372333526611328,23.51144027709961,28.88990020751953,26.772876739501953,18.115638732910156
23,13.059086799621582,7.0275678634643555,13.693273544311523,16.233821868896484,2.8559343814849854
24,9.999999747378752e-05,9.999999747378752e-05,14.26965618133545,14.143365859985352,2.14080810546875
25,9.999999747378752e-05,9.999999747378752e-05,0.0037252481561154127,0.0037252481561154127,2.753586769104004
26,9.999999747378752e-05,9.999999747378752e-05,0.003286740044131875,0.003286740044131875,2.153258800506592
27,9.999999747378752e-05,9.999999747378752e-05,0.003106330521404743,0.003106330521404743,2.346707344055176
28,0.7378971576690674,9.999999747378752e-05,0.0031598256900906563,0.0031598256900906563,2.8834168910980225
29,5.825119972229004,9.999999747378752e-05,0.0037671816535294056,0.0037671816535294056,3.135420322418213
30,9.999999747378752e-05,9.999999747378752e-05,0.0039033202920109034,0.003903313772752881,2.6936352252960205
31,1.9485410451889038,9.999999747378752e-05,20.0211181640625,0.0034922289196401834,2.3576571941375732
32,13.410833358764648,18.65545654296875,0.0038528020959347486,0.0038528020959347486,3.2842774391174316
33,9.999999747378752e-05,9.999999747378752e-05,0.0037103730719536543,0.003710376098752022,5.421195030212402
34,9.999999747378752e-05,16.26685333251953,0.004569157026708126,0.004569157026708126,4.834800720214844
35,9.999999747378752e-05,9.999999747378752e-05,0.003664687741547823,0.003664487274363637,6.512697696685791
36,9.999999747378752e-05,9.999999747378752e-05,0.0038193059153854847,0.0038193059153854847,1.8950971364974976
37,0.4789157807826996,0.4789157807826996,16.545801162719727,13.802258491516113,11.074483871459961
38,9.999999747378752e-05,9.999999747378752e-05,0.003627405036240816,0.0036274068988859653,3.3125147819519043
39,7.218421936035156,20.72643280029297,0.003635554574429989,0.003635590197518468,6.844376087188721
40,0.2948940396308899,19.60052490234375,1.470435380935669,4.851509094238281,17.152450561523438
41,9.999999747378752e-05,9.999999747378752e-05,0.004081969149410725,0.004081968683749437,14.644434928894043
42,19.793312072753906,21.767534255981445,21.99355697631836,21.7825870513916,19.267803192138672
43,9.999999747378752e-05,11.550193786621094,0.003769389819353819,0.003769389819353819,2.737522840499878
44,9.999999747378752e-05,9.999999747378752e-05,29.28958511352539,0.005372827872633934,3.715423107147217
45,13.463072776794434,13.463072776794434,2.5866870880126953,0.0048007178120315075,2.056731939315796
46,9.999999747378752e-05,9.999999747378752e-05,0.0036687247920781374,0.0036687247920781374,2.7666208744049072
47,0.3231455087661743,0.3231455087661743,0.3039216995239258,0.6692785024642944,3.3037819862365723
48,13.556739807128906,14.914803504943848,13.567802429199219,13.498602867126465,18.931642532348633
49,0.6832916736602783,9.999999747378752e-05,0.003505581757053733,0.0035055719781666994,3.6918201446533203
50,16.95146369934082,9.999999747378752e-05,0.003753304248675704,0.003753304248675704,3.5129454135894775
51,9.999999747378752e-05,9.999999747378752e-05,0.0030675004236400127,0.0030675004236400127,1.998166799545288
52,10.975215911865234,11.064435958862305,0.07229889929294586,14.388264656066895,2.5788681507110596
53,9.999999747378752e-05,9.999999747378752e-05,0.002717354567721486,0.002717354567721486,1.3834208250045776
54,0.6981500387191772,9.999999747378752e-05,0.0035680586006492376,0.003568059066310525,2.4514901638031006
55,22.58485221862793,26.132566452026367,32.65714645385742,17.43975257873535,21.798927307128906
56,9.999999747378752e-05,9.999999747378752e-05,0.003274164628237486,0.003274068236351013,8.65968132019043
57,9.999999747378752e-05,9.999999747378752e-05,0.0031009477097541094,0.0031009477097541094,2.1764063835144043
58,9.999999747378752e-05,9.999999747378752e-05,0.0035745492205023766,0.0035745492205023766,2.737889051437378
59,6.944979667663574,9.999999747378752e-05,0.0030223499052226543,0.0030223499052226543,2.258951187133789
60,9.999999747378752e-05,9.999999747378752e-05,0.004631020128726959,0.004631020128726959,0.28740110993385315
61,9.999999747378752e-05,9.999999747378752e-05,0.004119744524359703,0.004119744524359703,2.1191153526306152
62,9.999999747378752e-05,9.999999747378752e-05,0.0031492949929088354,0.0031492949929088354,1.6603233814239502
63,9.999999747378752e-05,9.999999747378752e-05,0.003502746345475316,0.003502746345475316,2.427123785018921
64,17.860322952270508,9.999999747378752e-05,0.003065388882532716,0.003065388882532716,2.1391046047210693
65,9.999999747378752e-05,9.999999747378752e-05,0.0031550622079521418,0.0031550622079521418,1.8536159992218018
66,12.404024124145508,9.999999747378752e-05,0.0035118558444082737,0.0035118558444082737,3.916595935821533
67,8.674253463745117,5.482693195343018,14.044880867004395,14.98363208770752,5.900366306304932
68,17.916683197021484,17.916683197021484,18.168001174926758,17.916770935058594,17.524341583251953
69,9.999999747378752e-05,9.999999747378752e-05,0.014509896747767925,0.004887296352535486,7.052753925323486
70,9.999999747378752e-05,9.999999747378752e-05,0.03563063219189644,0.0037882342003285885,4.474234580993652
71,9.999999747378752e-05,9.999999747378752e-05,0.003275159979239106,0.003275159979239106,2.289350986480713
72,9.999999747378752e-05,9.999999747378752e-05,0.0030336619820445776,0.0030336619820445776,1.5147069692611694
73,9.999999747378752e-05,9.999999747378752e-05,0.004319050814956427,0.004319050814956427,2.308178186416626
74,9.999999747378752e-05,9.999999747378752e-05,0.0036444736178964376,0.0036444489378482103,3.299553632736206
75,6.68185567855835,4.644920825958252,21.647878646850586,0.0034655099734663963,3.707172393798828
76,21.228355407714844,0.9587017893791199,20.34630012512207,0.0037088370881974697,3.6736738681793213
77,9.999999747378752e-05,9.999999747378752e-05,0.003906799480319023,0.003906808793544769,3.175159215927124
78,9.999999747378752e-05,9.999999747378752e-05,0.0037558656185865402,0.0037558656185865402,4.392571926116943
79,9.999999747378752e-05,9.999999747378752e-05,0.0026541983243077993,0.0026541983243077993,0.6812922954559326
80,15.501214981079102,12.47953987121582,15.873498916625977,12.479323387145996,12.432708740234375
81,1.0765308141708374,9.999999747378752e-05,0.0038544905837625265,0.003854449139907956,4.580865383148193
82,9.999999747378752e-05,9.999999747378752e-05,0.0035326171200722456,0.0035326166544109583,2.7650718688964844
83,9.999999747378752e-05,9.999999747378752e-05,0.003714611055329442,0.003714611055329442,2.7164053916931152
84,9.999999747378752e-05,9.999999747378752e-05,18.46318244934082,0.0034208744764328003,12.132791519165039
85,9.999999747378752e-05,11.22304916381836,0.004049323499202728,0.004049316514283419,2.6216318607330322
86,9.999999747378752e-05,9.999999747378752e-05,0.003072052961215377,0.003072052961215377,1.928314208984375
87,9.999999747378752e-05,9.999999747378752e-05,16.801048278808594,0.004094862844794989,2.2028136253356934
88,9.92017936706543,9.999999747378752e-05,0.004567658994346857,0.004567658994346857,6.438165664672852
89,9.999999747378752e-05,9.999999747378752e-05,0.003722602967172861,0.003722602967172861,2.7041404247283936
90,9.999999747378752e-05,9.999999747378752e-05,5.9081268310546875,14.963960647583008,13.144673347473145
91,1.112274169921875,9.999999747378752e-05,0.003058857750147581,0.003058857750147581,2.356130838394165
92,0.6467322111129761,9.999999747378752e-05,0.005429977551102638,0.005429977551102638,3.6445107460021973
93,0.5684866309165955,9.999999747378752e-05,0.004097853321582079,0.004097853321582079,5.373989582061768
94,9.999999747378752e-05,9.999999747378752e-05,0.004149978049099445,0.004149978049099445,2.4611260890960693
95,9.999999747378752e-05,9.999999747378752e-05,0.0038667386397719383,0.0038667386397719383,3.237621784210205
96,11.25986385345459,11.25986385345459,16.101713180541992,17.725872039794922,12.270488739013672
97,14.05762004852295,9.999999747378752e-05,17.852169036865234,0.0037168681155890226,3.0329198837280273
98,15.914045333862305,0.4217367172241211,1.8983380794525146,0.36175212264060974,6.260711669921875
99,20.207874298095703,15.154141426086426,0.6538249254226685,0.04437412694096565,13.536826133728027
100,9.999999747378752e-05,9.999999747378752e-05,0.00434729503467679,0.00434729503467679,3.1102585792541504
101,14.973732948303223,9.999999747378752e-05,0.0028582855593413115,0.0028582855593413115,2.426068067550659
102,20.34218406677246,19.209274291992188,14.824286460876465,15.10042953491211,10.454376220703125
103,8.511797904968262,8.511797904968262,14.622060775756836,9.031991004943848,9.030238151550293
104,9.999999747378752e-05,9.999999747378752e-05,0.0065019200555980206,0.00650191493332386,6.7705607414245605
105,0.52284175157547,10.336136817932129,0.010296547785401344,0.010296547785401344,8.377875328063965
106,9.999999747378752e-05,9.999999747378752e-05,0.003915149252861738,0.003915149252861738,2.5385818481445312
107,9.999999747378752e-05,9.999999747378752e-05,0.0034669232554733753,0.003466922789812088,2.5793821811676025
108,18.467750549316406,18.467750549316406,15.999351501464844,16.35941505432129,2.981995105743408
109,9.999999747378752e-05,9.999999747378752e-05,0.0034066627267748117,0.0034066627267748117,1.898616909980774
110,1.9893256425857544,10.14292049407959,14.252060890197754,13.990338325500488,10.880070686340332
111,21.313495635986328,28.36618423461914,1.0370231866836548,1.0489611625671387,5.329558849334717
112,9.999999747378752e-05,9.999999747378752e-05,0.003883574390783906,0.003883574390783906,3.640684127807617
113,9.999999747378752e-05,9.999999747378752e-05,0.004179080948233604,0.004179080948233604,2.442430257797241
114,8.507709503173828,8.507709503173828,1.7863638401031494,0.12268172204494476,2.836019277572632
115,9.999999747378752e-05,9.999999747378752e-05,0.003719111206009984,0.003719111206009984,3.901973247528076
116,7.914741516113281,23.2545108795166,0.03596891090273857,0.004100175108760595,5.238620758056641
117,9.999999747378752e-05,9.999999747378752e-05,0.003336576744914055,0.003336576744914055,1.7153022289276123
118,19.190004348754883,15.499608039855957,19.6477108001709,18.84281349182129,7.571774005889893
119,9.999999747378752e-05,9.999999747378752e-05,0.002934301970526576,0.002934301970526576,1.7062962055206299
120,25.762916564941406,9.999999747378752e-05,0.004548070952296257,0.004386201035231352,10.410270690917969
121,6.6841816902160645,9.999999747378752e-05,0.003650067374110222,0.003650067374110222,3.4944660663604736
122,21.51874542236328,21.51874542236328,22.82731819152832,16.86007308959961,21.521156311035156
123,9.999999747378752e-05,9.999999747378752e-05,0.00273080519400537,0.00273080519400537,1.9073811769485474
124,0.5960128903388977,9.999999747378752e-05,1.2111170291900635,0.004818602465093136,3.0789926052093506
125,9.999999747378752e-05,9.999999747378752e-05,0.0030401970725506544,0.003040246432647109,1.911007046699524
